Name;Market Category;Seller;Ranking (Legal/Illegal/Depends);Reason
 DrFRAUDs PERSONAL HACKING HANDBOOK + CODING COACHING CLASS;Services;DrFRAUD511;Depends;Selling or buying books is not illegal, however if the books are pirated, stolen or copyright-claimed and the owner is a different person, then the act of both buying them(if you are aware of the fact that they are pirated) and selling them is illegal.
START YOUR DARKNET JOURNEY PERFECTLY -5 IN 1: ANONYMITY, TUTORIALS, INFOS, KNOWLEDGES, SECURITY;Services;DrFRAUD511;depends;Selling courses, even for starting a darknet is completely legal since the darknet itself is not illegal(but can depend per country). However if the courses are stolen, pirated or fake, a crime is involved making the product or action illegal.
DrFRAUDs EXPOLIT KIT: UPDATED BTC STEALER, ADDRESS GENERATOR, EXPLOITS TOOLS, TUTORIALS,.. ;Services;DrFRAUD511;depends;Unless used for scientific purpose or not used at all, most of the scripts are illegal to use.
DrFRAUDs 5000$ LOAN FRAUD GUIDE + PASS AND USE COUNTERFEIT MONEY GUIDE ;Services;DrFRAUD511;depends;Selling or buying guides is mostly legal however the intended usage of the guides can be legal or illegal.
Skype Phising Page;Digital Products;DrunkDragon;depends;It just sells a page that could be utilized for phishing but doesnt have to be. The buyer would commit an illegal act by utilizing this product in an illegal manner
Telegram Post View x1000 last 50 Posts + Bonus Views Included ;Services;enjoymyaccounts ;depends;Just like in the case with fame and Instagram views, this kind of product can help the user lead to fake advirtesment of something that is not real. Buying Telegram Post views itself is legal, however the above mentioned reason can make it illegal.
Romania Fake ID;Counterfeit Items;fakeideurope;depends;Buying or using a fake ID for any means except if the fake ID is used by the police undercover for example(a case can be made for using fake IDs).
Bulgaria Fake Driving License;Counterfeit Items;fakeideurope;illegal;Buying or using a fake driver's license is illegal.
Tadalafil (Cialis) 30mgs x 30ml $35;Steroids;FakeYourCard;depends;available with a prescription
Sildenafil (Viagra) 25mgs;Steroids;FakeYourCard;depends;not available over the counter but with prescription
Tamoxifen (Nolvadex) 20mgs x 30ml;Steroids;FakeYourCard;legal;approved by the FDA, usually used for the prevention of breast cancer
Clenbuterol (Clen) 40mcg x 30ml;Steroids;FakeYourCard;illegal;not approved by the FDA, a performance-enhancing drug. Also, banned to inject into animals that will serve as food
Oxandrolone (Anavar) 25mgs x 30mL;Steroids;FakeYourCard;legal;purchased through a licensed doctor or pharmacy, is a generic prescription drug
Methandrostenolone (Dianabol) 25mgs x 30mL;Steroids;FakeYourCard;legal;schedule III controlled substance in the US, with prescription only
Mesterolone (Proviron) 25mg each x 30mL;Steroids;FakeYourCard;legal;schedule III controlled substance in the US, with prescription only
4-Chlorodehydromethyltestosterone (Turnibol) 25mgs x 30mL;Steroids;FakeYourCard;depends;schedule III controlled substance in the US, with prescription only/ In the UK it is illegal  classified as class C drug
Superman (25mgs of Viagra and 25mgs of Cialis) 50mg each x 30mL;Steroids;FakeYourCard;depends;required to be sold by pharmacies in most countries
Arimidex 1mg x 30ml;Steroids;FakeYourCard;legal;only with a prescription, used in cancer treatment
Aromasin 25mgs;Steroids;FakeYourCard;legal;only with a prescription, used in breast cancer treatment. However, it is also used to enhance performance
Letrozole (Letro) 2.5mgs;Steroids;FakeYourCard;legal;only with a prescription, used in breast cancer treatment
clomiphene (clomid) 40mgs;Steroids;FakeYourCard;depends;"legal when treating infertile women; illegal to use in sports on the anti-doping Agency prohibited list "
Physical Checkbooks;Counterfeit Items;feggmann;depends;If you are eligeble for owning or giving out Checkbooks then it is not illegal, however using Checkbooks for frauds is illegal.
Wiping your Laptop like CIA;Services;g3cko;depends;It seems legal, the use of it can be illegal (for example deleting evidence)
Oregon Voter Database 3.1 Million;Data;GoldApple;illegal;This item contains highly sensitive personal data (Voter IDs, Full Names, Physical Address, Date of Birth etc) that was stolen without consent 
0.82 Million Romanian Emails ;Data;GoldApple;illegal;This item also very likely contains personal data that was stolen
DFB.de Database;Data;GoldApple;illegal;This contains account credentials from a database breach which was obtained illegal and contains personal data
Ohio 2017 Voter Database 7.9 Million Voters;Data;GoldApple;illegal;Sensitive Personal Data such as Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Citizen Status are confidential
Texas Birth|Death|Marriage|Divorce Database;Data;GoldApple;illegal;Sensitive Personal Data that has been obtained in a hack
EU Emails Leads Pack (24 Countries);Data;GoldApple;illegal;Leaked private E-mails from 24 EU Countries, multiple million Emails
Cashapp Verified Account . BTC Enabled ;Services;Goldmarket ;depends;This can of course also be just a fake account that cannot be used anywhere, in which it would be completely fine, however if this acocunt is an account that the user does not have initial access to and has bought that access, which can be compared to stealing accounts, then this is illegal.
1 x Fat Banana autoflower seeds    ;Drugs & Chemicals;greatwhite;legal;It is legal to buy seed in netherlands
1 x gorilla glue autoflower seed ;Drugs & Chemicals;greatwhite;legal;It is legal to buy seed in netherlands
Bitcoin Wallet Cracker NEW VERSION - Get unlimited Bitcoins;Digital Products;Hackyboy;depends;As often it depends what the use-case is and if this software works. A security analyst could buy this to research it
Super Nintendo Entertainment System Loader with Complete US Romset and Front End Interface - INSTANT DELIVERY;Digital Products;HarleyQuinn;depends;Depends if the software is copyrighted or malicious
The complete 2022 Advanced I.D. Creator Updated 2022;Digital Products;HarleyQuinn;depends;It is illegal to create fake id's and this software facilitates that.
Western Union Carding Method ;Services;heartkidnapper;illegal;In order to posses bank cards and bank accounts there are certain requirements that need to be valid, for example providing an id card, having a citizenship of the country where you want to open the bank, however buying such a bank account online is illegal because the above requirements are not fullfilled.
Fake Google Chrome Update Leads to Android Malware Stealing Personal Data;Digital Products;heartkidnapper ;depends;Malware that is highly likely illegal but could be used for reserach purposes (legal)
Carding Sites And Methods ;Services;heartkidnapper;depends;Depends on the purpose and usage of the methods, these can be both used maliciously which means illegal, or just for research purposes and be completely legal.
Dumps Carding - Self Education - Further reading material ;Services;heartkidnapper ;depends;The reading material for self education could be veridic and for educational purpose which makes it legal, however in the case that the guide is used for crime, it becomes illegal.
Luxury Watches up to $100K. Pay 15% of value! ;Services;Kaptein ;depends;If the watch is legit and not fake then the purchase and the selling of the watch is completely legal, however in the case that the seller is providing a counterfeited watch, the whole thing is illegal.
King Labs Primo A 100 (Primobolan Metenolone Acetate),;Steroids;king300shop;illegal;the sale and marketing is illegal in the US
Instagram views ;Services;kingaccount;depends;Buying views on instagram is legal, however using views for raising popularity and fake advirtising is illegal.
HOW TO MAKE 150k IN 21 DAYS CRYPTO SIGNALS,BOTS WORTH MILLIONS IN THE RIGHT HAND ;Services;Melvinbankz ;depends;Depends on the intended use of the course as well as the validity of it, if the course is completely valid and is intended to be used for educational purposes only, it is therefore legal, otherwise, if the material is used for illegal actions, it becomes a crime.
Complete Influencer Megapack + Self Boost Training - 2 in 1;Digital Products;mrq1234;legal;This is a service/training aimed for influencers and self boost training which is very likely legal
RANDOM SUPRISE VALUABLE ITEM - 100% GUARANTEED PROFIT ;Fraud;mrq1234;depends;On what is inside the box
Steam Game Keys Service - 300% Clean Profit;Services;mrq1234;depends;For example the sold keys for the steam games could be ones that are not owned by the seller or they could be a scam, however buying such services is possible even outside of the dark web and is not illegal.
Vip Ultimate package to beat the house and earn money with gambling and betting;Services;mrq1234;depends;Using the service to gamble and betting might be illegal in some countries, however buying this service is legal, unless selling gambling and betting services is illegal.
ALL IN ONE DARKNET COMPLETE BUNDLE -BUY 1 GET EVERYTHING- #1 MARKET ;Services;mrq1234;depends;This can of course be a scam, in which case this would be a crime related to scamming people, however if this is legit and has not been pirated or hacked(which is very improbable) then it would be legal.
4 IN 1 PORN BUNDLE - PORN PACKS, EWHORING PACKS, MAKE MONEY WITH PORN;Digital Products;mrq1234;depends;Depends on the type of porn
PIRATED ITEMS BUNDLE VALUED 400$+ & COMPLETE GUIDE ON HOW TO MAKE MONEY WITH IT;Digital Products;mrq1234;illegal;Because of the copyright
SPORT BETTING TIPSTER - 100% GUARANTEED PROFIT - HIT OR REFUND;Services;mrq1234;depends;In which country it is bought
otPROGRAMMING COMPLETE MEGAPACK - PYTHON JAVA C# C++ JAVASCRIPT - 5 IN 1 ;Services;mrq1234;depends;Depends on whether the courses are legit/not pirated. Selling and buying courses is completely legal otherwise.
UPDATED FAKE ID MEGAPACK + BONUS MEGAPACK - 2 IN 1 - BUY 1 GET EVERYTHING ;Services;mrq1234;depends;Buying or using a fake ID is completely forbiden by law, however if a police person is using the ID for working under cover, then it is completely legal. Selling ID cards online is illegal.
MASTER THE CRAFT OF FOREX AND STOCK TRADING + BUSINESS & FINANCE PACK - 2 IN 1 ;Services;mrq1234;depends;If the courses are stolen or have a copy-right claim then buying or selling them is illegal, otherwise it is legal.
1000 Gram MDMA 84 % Pure High Quality;Drugs & Chemicals;mysteryland;illegal;Possesing mdma is illegal in NL
10x LSD blotter Anonymous 250ug - Worldwide Shipping ! ;Drugs & Chemicals;NextLevel;illegal;The possession and selling of it is illegal
10 Socks5 Proxy United States IP Port Socks 5 VALID STANDARD;Digital Products;pansiver;legal;It is a proxy that will forward your requests, the requests can be illegal, the whole idea of the proxy server is not.
1G KETAMINE S-ISOMER    ;Drugs & Chemicals;PlanetHollywood;illegal;The possession and selling of it is illegal
"50x Pfizer ""X2"" 4mg Xanax ";Drugs & Chemicals;PlatinumXanax;depends;It is illegal to posses it if you dont have a prescription
Book a Flight\Hotel 75% OFF ;Services;Porsche Turbo;depends;This depends on whether the purchase is legit or not, it is mostly legal to book a flight\hotel.
HGH Human Growth Hormone ;Drugs & Chemicals;puregear;illegal;This item is required to be sold by pharmacies in most countries and illegal to sell privately - they require a prescription
Hack Mega Pack, Rats, Keylogger, Cracks and More - Instant Delivery;Digital Products;rvaska;depends;A lot of malware that could be used in illegal activities but also with consent for research purposes
3.5g Heroin (High quality);Drugs & Chemicals;Sluddy;illegal;The possession and selling of heroin is illegal
Instagram Likes Lifetime Warranty;Services;socialmedia;depends;Instagram likes can be used for fake influence and fake advirtising or pretending to be a popular person, however it is not necessarily illegal and depends on case to case.
Twitch Channel Views | 1000 For 4$ ;Services;socialmedia;depends;Just like in the above cases, buying views for a platform might not necessarily be illegal, but it really depends on the platform policy as well as the intended use of these views, which can be a case of false advertisement.
Syringe Sterile 2ML with Needle (23Gx1″ – 0.6x25mm) – 30 pieces    ;Drugs & Chemicals;SteroidWarehouse;legal;Sterile needles are legal.
1x Wonderland Psilocybin Chocolate Bar    ;Drugs & Chemicals;StrainPirate;legal;Leag in netherlands maybe not in other countries
TESTOSTERONE Testoheal 40mg soft gel pills;Steroids;TheBodyShop;legal;unrestricted noncommercial use, only with a prescription
Rolex Oyster Perpetual 126000 36mm Automatic.;Counterfeit Items;thejuicedoctor;depends;Both buying or owning a counterfiet item is illegal(except or the case when you are not aware that the item is counterfieted)
Bensedin Valium (Diazepam) 10mg Galenika (15 Pills)    ;Drugs & Chemicals;TheRealPMitchell;illegal;The possession and selling of it is illegal
Ultimate Botnet guide - start your own Botnet;Digital Products;topkittzz;depends;Probably education on how to commit a crime
10x 25mg 2cb ultra strong;Drugs & Chemicals;ukcountylines;illegal;The possession and selling of it is illegal
Passport;Counterfeit Items;ytuiv;illegal;Owning a fake Passport, selling one or using one for traveling is illegal.
Fake Bank Notes;Counterfeit Items;ytuiv;illegal;Both owning, buying or selling fake banknotes is illegal
Drivers License;Counterfeit Items;ytuiv;illegal;Buying or using a fake driver's license is illegal.
